"siteID","date","Year","Month","Tmin","Tmax","Tavg","P"
"Cacao Arenales","1979-02-01",1979,2,18.15,25.25,21.7,8.33
"Bosque Humedo","1979-02-01",1979,2,22.25,28.65,25.45,1.7
"Naranjo Carbonal","1979-02-01",1979,2,23.95,29.45,26.7,0.53
"Cacao Sendero Circular","1979-02-01",1979,2,17.25,24.45,20.85,8.67
"Gongora","1979-02-01",1979,2,20.35,27.75,24.05,6.12
"Rincon 1000","1979-02-01",1979,2,17.75,25.35,21.55,19.7
"Rincon 1200","1979-02-01",1979,2,16.65,24.05,20.35,20.72
"Maritza","1979-02-01",1979,2,20.35,27.35,23.85,5.99
"Pitilla","1979-02-01",1979,2,19.65,26.15,22.9,12.89
"Rancho Harold","1979-02-01",1979,2,19.65,27.05,23.35,6.88
"Cacao Arenales","1979-03-01",1979,3,17.65,26.35,22,18.68
"Bosque Humedo","1979-03-01",1979,3,22.25,29.65,25.95,4.52
"Naranjo Carbonal","1979-03-01",1979,3,24.15,30.25,27.2,1.6
"Cacao Sendero Circular","1979-03-01",1979,3,16.75,25.35,21.05,19.53
"Gongora","1979-03-01",1979,3,20.15,29.15,24.65,13.81
"Rincon 1000","1979-03-01",1979,3,17.15,26.55,21.85,37.84
"Rincon 1200","1979-03-01",1979,3,15.95,25.15,20.55,39.66
"Maritza","1979-03-01",1979,3,20.25,28.55,24.4,14.29
"Pitilla","1979-03-01",1979,3,19.65,27.25,23.45,29.33
"Rancho Harold","1979-03-01",1979,3,19.35,28.25,23.8,15.46
"Cacao Arenales","1979-04-01",1979,4,18.75,26.45,22.6,192.31
"Bosque Humedo","1979-04-01",1979,4,23.25,29.85,26.55,144
"Naranjo Carbonal","1979-04-01",1979,4,25.15,30.55,27.85,105.14
"Cacao Sendero Circular","1979-04-01",1979,4,17.85,25.45,21.65,195.58
"Gongora","1979-04-01",1979,4,21.25,29.25,25.25,176.58
"Rincon 1000","1979-04-01",1979,4,18.45,26.35,22.4,236.53
"Rincon 1200","1979-04-01",1979,4,17.25,24.95,21.1,239.7
"Maritza","1979-04-01",1979,4,21.35,28.75,25.05,165.32
"Pitilla","1979-04-01",1979,4,20.65,27.35,24,222.02
"Rancho Harold","1979-04-01",1979,4,20.45,28.35,24.4,182.51
"Cacao Arenales","1979-05-01",1979,5,18.55,25.45,22,132.27
"Bosque Humedo","1979-05-01",1979,5,23.25,29.25,26.25,163.58
"Naranjo Carbonal","1979-05-01",1979,5,25.35,30.15,27.75,137.18
"Cacao Sendero Circular","1979-05-01",1979,5,17.65,24.45,21.05,133.32
"Gongora","1979-05-01",1979,5,21.15,28.25,24.7,132.84
"Rincon 1000","1979-05-01",1979,5,18.15,25.65,21.9,191.99
"Rincon 1200","1979-05-01",1979,5,16.85,24.15,20.5,185.34
"Maritza","1979-05-01",1979,5,21.35,27.95,24.65,121.28
"Pitilla","1979-05-01",1979,5,20.65,26.75,23.7,139.49
"Rancho Harold","1979-05-01",1979,5,20.35,27.35,23.85,132.64
"Cacao Arenales","1979-06-01",1979,6,18.75,24.05,21.4,655.12
"Bosque Humedo","1979-06-01",1979,6,22.85,27.35,25.1,576.02
"Naranjo Carbonal","1979-06-01",1979,6,24.65,28.45,26.55,482.81
"Cacao Sendero Circular","1979-06-01",1979,6,17.95,23.15,20.55,664.37
"Gongora","1979-06-01",1979,6,20.95,26.45,23.7,623.82
"Rincon 1000","1979-06-01",1979,6,18.45,24.15,21.3,642.27
"Rincon 1200","1979-06-01",1979,6,17.35,22.95,20.15,650.7
"Maritza","1979-06-01",1979,6,21.15,26.25,23.7,594.64
"Pitilla","1979-06-01",1979,6,20.65,25.35,23,707.67
"Rancho Harold","1979-06-01",1979,6,20.25,25.65,22.95,636.06
"Cacao Arenales","1979-07-01",1979,7,18.75,24.15,21.45,302.97
"Bosque Humedo","1979-07-01",1979,7,22.95,27.75,25.35,287.18
"Naranjo Carbonal","1979-07-01",1979,7,24.85,28.95,26.9,212.99
"Cacao Sendero Circular","1979-07-01",1979,7,17.95,23.25,20.6,312
"Gongora","1979-07-01",1979,7,20.95,26.65,23.8,270.03
"Rincon 1000","1979-07-01",1979,7,18.35,24.35,21.35,307.21
"Rincon 1200","1979-07-01",1979,7,17.25,23.05,20.15,319.59
"Maritza","1979-07-01",1979,7,21.15,26.35,23.75,288.44
"Pitilla","1979-07-01",1979,7,20.65,25.35,23,369.78
"Rancho Harold","1979-07-01",1979,7,20.25,25.85,23.05,279.64
"Cacao Arenales","1979-08-01",1979,8,18.55,24.05,21.3,425.07
"Bosque Humedo","1979-08-01",1979,8,22.85,27.65,25.25,364.21
"Naranjo Carbonal","1979-08-01",1979,8,24.75,28.85,26.8,285.14
"Cacao Sendero Circular","1979-08-01",1979,8,17.75,23.15,20.45,434.58
"Gongora","1979-08-01",1979,8,20.85,26.55,23.7,388.86
"Rincon 1000","1979-08-01",1979,8,18.25,24.15,21.2,489.04
"Rincon 1200","1979-08-01",1979,8,17.05,22.85,19.95,502.61
"Maritza","1979-08-01",1979,8,21.05,26.25,23.65,376.35
"Pitilla","1979-08-01",1979,8,20.55,25.25,22.9,518.21
"Rancho Harold","1979-08-01",1979,8,20.15,25.75,22.95,400.05
"Cacao Arenales","1979-09-01",1979,9,18.25,23.35,20.8,607.8
"Bosque Humedo","1979-09-01",1979,9,22.35,26.45,24.4,632.05
"Naranjo Carbonal","1979-09-01",1979,9,24.15,27.35,25.75,606.12
"Cacao Sendero Circular","1979-09-01",1979,9,17.45,22.55,20,606.47
"Gongora","1979-09-01",1979,9,20.45,25.65,23.05,628.31
"Rincon 1000","1979-09-01",1979,9,17.85,23.55,20.7,703.76
"Rincon 1200","1979-09-01",1979,9,16.75,22.35,19.55,696.36
"Maritza","1979-09-01",1979,9,20.65,25.55,23.1,533.52
"Pitilla","1979-09-01",1979,9,20.25,24.85,22.55,566.61
"Rancho Harold","1979-09-01",1979,9,19.75,24.95,22.35,625.99
"Cacao Arenales","1979-10-01",1979,10,18.25,23.45,20.85,433.13
"Bosque Humedo","1979-10-01",1979,10,22.55,26.85,24.7,475.37
"Naranjo Carbonal","1979-10-01",1979,10,24.45,27.85,26.15,439.87
"Cacao Sendero Circular","1979-10-01",1979,10,17.35,22.55,19.95,440.91
"Gongora","1979-10-01",1979,10,20.55,25.95,23.25,420.78
"Rincon 1000","1979-10-01",1979,10,17.85,23.65,20.75,499.7
"Rincon 1200","1979-10-01",1979,10,16.65,22.35,19.5,510.66
"Maritza","1979-10-01",1979,10,20.75,25.75,23.25,400.28
"Pitilla","1979-10-01",1979,10,20.25,24.85,22.55,452.72
"Rancho Harold","1979-10-01",1979,10,19.85,25.15,22.5,423.04
"Cacao Arenales","1979-11-01",1979,11,18.05,23.25,20.65,293.19
"Bosque Humedo","1979-11-01",1979,11,22.35,26.95,24.65,221.94
"Naranjo Carbonal","1979-11-01",1979,11,24.35,28.25,26.3,147.1
"Cacao Sendero Circular","1979-11-01",1979,11,17.25,22.35,19.8,302.72
"Gongora","1979-11-01",1979,11,20.35,25.75,23.05,251.88
"Rincon 1000","1979-11-01",1979,11,17.75,23.35,20.55,299.77
"Rincon 1200","1979-11-01",1979,11,16.55,22.15,19.35,311.79
"Maritza","1979-11-01",1979,11,20.55,25.45,23,271.11
"Pitilla","1979-11-01",1979,11,19.95,24.55,22.25,380.13
"Rancho Harold","1979-11-01",1979,11,19.65,24.95,22.3,264.74
"Cacao Arenales","1979-12-01",1979,12,17.95,22.95,20.45,138.19
"Bosque Humedo","1979-12-01",1979,12,22.15,26.65,24.4,76.84
"Naranjo Carbonal","1979-12-01",1979,12,23.95,27.95,25.95,41.09
"Cacao Sendero Circular","1979-12-01",1979,12,17.15,22.05,19.6,144.9
"Gongora","1979-12-01",1979,12,20.05,25.35,22.7,107.2
"Rincon 1000","1979-12-01",1979,12,17.55,23.05,20.3,182.84
"Rincon 1200","1979-12-01",1979,12,16.45,21.85,19.15,186.15
"Maritza","1979-12-01",1979,12,20.25,25.05,22.65,126.22
"Pitilla","1979-12-01",1979,12,19.65,24.05,21.85,195.81
"Rancho Harold","1979-12-01",1979,12,19.45,24.65,22.05,116.3
"Cacao Arenales","1980-01-01",1980,1,17.95,24.05,21,19.06
"Bosque Humedo","1980-01-01",1980,1,22.15,27.65,24.9,4.22
"Naranjo Carbonal","1980-01-01",1980,1,23.95,28.75,26.35,1.4
"Cacao Sendero Circular","1980-01-01",1980,1,17.15,23.15,20.15,19.99
"Gongora","1980-01-01",1980,1,20.15,26.55,23.35,13.79
"Rincon 1000","1980-01-01",1980,1,17.65,24.15,20.9,42.64
"Rincon 1200","1980-01-01",1980,1,16.45,22.85,19.65,43.51
"Maritza","1980-01-01",1980,1,20.25,26.05,23.15,14.85
"Pitilla","1980-01-01",1980,1,19.65,24.95,22.3,32.06
"Rancho Harold","1980-01-01",1980,1,19.45,25.75,22.6,15.52
"Cacao Arenales","1980-02-01",1980,2,17.25,24.75,21,3.75
"Bosque Humedo","1980-02-01",1980,2,21.75,28.35,25.05,0.78
"Naranjo Carbonal","1980-02-01",1980,2,23.65,29.15,26.4,0.36
"Cacao Sendero Circular","1980-02-01",1980,2,16.35,23.85,20.1,3.89
"Gongora","1980-02-01",1980,2,19.65,27.55,23.6,2.56
"Rincon 1000","1980-02-01",1980,2,16.85,24.95,20.9,11.84
"Rincon 1200","1980-02-01",1980,2,15.65,23.65,19.65,12.66
"Maritza","1980-02-01",1980,2,19.75,27.05,23.4,2.61
"Pitilla","1980-02-01",1980,2,19.05,25.75,22.4,7.24
"Rancho Harold","1980-02-01",1980,2,18.95,26.75,22.85,2.98
"Cacao Arenales","1980-03-01",1980,3,18.05,26.45,22.25,10.86
"Bosque Humedo","1980-03-01",1980,3,22.55,29.85,26.2,3.82
"Naranjo Carbonal","1980-03-01",1980,3,24.35,30.45,27.4,2.09
"Cacao Sendero Circular","1980-03-01",1980,3,17.25,25.55,21.4,11.28
"Gongora","1980-03-01",1980,3,20.55,29.25,24.9,8.25
"Rincon 1000","1980-03-01",1980,3,17.75,26.65,22.2,22.19
"Rincon 1200","1980-03-01",1980,3,16.55,25.25,20.9,23.12
"Maritza","1980-03-01",1980,3,20.55,28.65,24.6,8.09
"Pitilla","1980-03-01",1980,3,19.85,27.25,23.55,16.57
"Rancho Harold","1980-03-01",1980,3,19.75,28.35,24.05,9.09
"Cacao Arenales","1980-04-01",1980,4,18.05,27.55,22.8,17.98
"Bosque Humedo","1980-04-01",1980,4,22.85,30.95,26.9,13.65
"Naranjo Carbonal","1980-04-01",1980,4,24.85,31.35,28.1,11.45
"Cacao Sendero Circular","1980-04-01",1980,4,17.15,26.55,21.85,18.78
"Gongora","1980-04-01",1980,4,20.65,30.55,25.6,14.47
"Rincon 1000","1980-04-01",1980,4,17.55,27.75,22.65,22.71
"Rincon 1200","1980-04-01",1980,4,16.25,26.25,21.25,23.69
"Maritza","1980-04-01",1980,4,20.75,30.05,25.4,15.98
"Pitilla","1980-04-01",1980,4,20.15,28.55,24.35,25.55
"Rancho Harold","1980-04-01",1980,4,19.85,29.65,24.75,15.41
"Cacao Arenales","1980-05-01",1980,5,18.95,26.85,22.9,279.98
"Bosque Humedo","1980-05-01",1980,5,23.65,30.15,26.9,240.79
