"siteID","date","Year","Month","Tmin","Tmax","Tavg","P"
"Naranjo Carbonal","1980-05-01",1980,5,25.55,30.65,28.1,172.55
"Cacao Sendero Circular","1980-05-01",1980,5,17.95,25.85,21.9,284.99
"Gongora","1980-05-01",1980,5,21.65,29.75,25.7,260.8
"Rincon 1000","1980-05-01",1980,5,18.65,26.95,22.8,341.25
"Rincon 1200","1980-05-01",1980,5,17.25,25.45,21.35,346.92
"Maritza","1980-05-01",1980,5,21.75,29.45,25.6,249.37
"Pitilla","1980-05-01",1980,5,21.15,28.15,24.65,320.34
"Rancho Harold","1980-05-01",1980,5,20.75,28.85,24.8,267.35
"Cacao Arenales","1980-06-01",1980,6,18.95,24.35,21.65,265.69
"Bosque Humedo","1980-06-01",1980,6,23.35,27.95,25.65,166.56
"Naranjo Carbonal","1980-06-01",1980,6,25.25,29.15,27.2,123.82
"Cacao Sendero Circular","1980-06-01",1980,6,18.15,23.55,20.85,271.54
"Gongora","1980-06-01",1980,6,21.35,26.85,24.1,230.1
"Rincon 1000","1980-06-01",1980,6,18.75,24.45,21.6,369.99
"Rincon 1200","1980-06-01",1980,6,17.55,23.15,20.35,383.4
"Maritza","1980-06-01",1980,6,21.45,26.55,24,214.19
"Pitilla","1980-06-01",1980,6,20.95,25.55,23.25,360.36
"Rancho Harold","1980-06-01",1980,6,20.65,26.05,23.35,243.36
"Cacao Arenales","1980-07-01",1980,7,18.85,24.25,21.55,269.77
"Bosque Humedo","1980-07-01",1980,7,23.05,28.05,25.55,144.37
"Naranjo Carbonal","1980-07-01",1980,7,24.95,29.25,27.1,94.71
"Cacao Sendero Circular","1980-07-01",1980,7,18.05,23.45,20.75,277.28
"Gongora","1980-07-01",1980,7,21.05,26.75,23.9,224.15
"Rincon 1000","1980-07-01",1980,7,18.55,24.45,21.5,372.58
"Rincon 1200","1980-07-01",1980,7,17.45,23.15,20.3,385.89
"Maritza","1980-07-01",1980,7,21.15,26.45,23.8,218.92
"Pitilla","1980-07-01",1980,7,20.65,25.45,23.05,381.96
"Rancho Harold","1980-07-01",1980,7,20.35,26.05,23.2,240.66
"Cacao Arenales","1980-08-01",1980,8,18.65,24.05,21.35,278.12
"Bosque Humedo","1980-08-01",1980,8,22.85,27.55,25.2,239.42
"Naranjo Carbonal","1980-08-01",1980,8,24.65,28.75,26.7,190.95
"Cacao Sendero Circular","1980-08-01",1980,8,17.85,23.15,20.5,283.43
"Gongora","1980-08-01",1980,8,20.85,26.45,23.65,255.49
"Rincon 1000","1980-08-01",1980,8,18.35,24.15,21.25,350.5
"Rincon 1200","1980-08-01",1980,8,17.25,22.85,20.05,356.34
"Maritza","1980-08-01",1980,8,21.05,26.25,23.65,244.38
"Pitilla","1980-08-01",1980,8,20.55,25.25,22.9,341.35
"Rancho Harold","1980-08-01",1980,8,20.15,25.75,22.95,263.6
"Cacao Arenales","1980-09-01",1980,9,18.55,23.95,21.25,441.53
"Bosque Humedo","1980-09-01",1980,9,22.75,27.45,25.1,408.14
"Naranjo Carbonal","1980-09-01",1980,9,24.65,28.55,26.6,308.75
"Cacao Sendero Circular","1980-09-01",1980,9,17.65,23.05,20.35,452
"Gongora","1980-09-01",1980,9,20.75,26.45,23.6,400.44
"Rincon 1000","1980-09-01",1980,9,18.15,24.25,21.2,474.32
"Rincon 1200","1980-09-01",1980,9,16.95,22.95,19.95,493.16
"Maritza","1980-09-01",1980,9,20.95,26.25,23.6,409.11
"Pitilla","1980-09-01",1980,9,20.45,25.25,22.85,518.45
"Rancho Harold","1980-09-01",1980,9,20.05,25.65,22.85,412.97
"Cacao Arenales","1980-10-01",1980,10,18.45,23.15,20.8,513.77
"Bosque Humedo","1980-10-01",1980,10,22.55,26.65,24.6,448.82
"Naranjo Carbonal","1980-10-01",1980,10,24.35,27.75,26.05,362.6
"Cacao Sendero Circular","1980-10-01",1980,10,17.65,22.35,20,522.13
"Gongora","1980-10-01",1980,10,20.65,25.55,23.1,485.66
"Rincon 1000","1980-10-01",1980,10,18.05,23.25,20.65,549.39
"Rincon 1200","1980-10-01",1980,10,16.95,22.05,19.5,561.17
"Maritza","1980-10-01",1980,10,20.85,25.35,23.1,476.79
"Pitilla","1980-10-01",1980,10,20.35,24.55,22.45,561.05
"Rancho Harold","1980-10-01",1980,10,19.95,24.85,22.4,495.46
"Cacao Arenales","1980-11-01",1980,11,17.95,22.85,20.4,371.79
"Bosque Humedo","1980-11-01",1980,11,22.15,26.45,24.3,303.95
"Naranjo Carbonal","1980-11-01",1980,11,24.05,27.65,25.85,232.09
"Cacao Sendero Circular","1980-11-01",1980,11,17.15,21.95,19.55,376.95
"Gongora","1980-11-01",1980,11,20.15,25.25,22.7,360.58
"Rincon 1000","1980-11-01",1980,11,17.65,22.95,20.3,422.95
"Rincon 1200","1980-11-01",1980,11,16.45,21.75,19.1,430.52
"Maritza","1980-11-01",1980,11,20.35,25.05,22.7,335.22
"Pitilla","1980-11-01",1980,11,19.85,24.15,22,403.16
"Rancho Harold","1980-11-01",1980,11,19.45,24.55,22,364.29
"Cacao Arenales","1980-12-01",1980,12,17.65,22.45,20.05,81.6
"Bosque Humedo","1980-12-01",1980,12,21.85,26.15,24,41.38
"Naranjo Carbonal","1980-12-01",1980,12,23.65,27.45,25.55,20.69
"Cacao Sendero Circular","1980-12-01",1980,12,16.85,21.55,19.2,84.63
"Gongora","1980-12-01",1980,12,19.85,24.85,22.35,64.76
"Rincon 1000","1980-12-01",1980,12,17.35,22.55,19.95,120.89
"Rincon 1200","1980-12-01",1980,12,16.25,21.35,18.8,124.16
"Maritza","1980-12-01",1980,12,19.95,24.55,22.25,66.92
"Pitilla","1980-12-01",1980,12,19.35,23.55,21.45,110.04
"Rancho Harold","1980-12-01",1980,12,19.15,24.05,21.6,70.12
"Cacao Arenales","1981-01-01",1981,1,16.95,22.95,19.95,12.76
"Bosque Humedo","1981-01-01",1981,1,21.15,26.45,23.8,3.72
"Naranjo Carbonal","1981-01-01",1981,1,22.85,27.55,25.2,1.56
"Cacao Sendero Circular","1981-01-01",1981,1,16.15,22.05,19.1,13.19
"Gongora","1981-01-01",1981,1,19.15,25.35,22.25,9.61
"Rincon 1000","1981-01-01",1981,1,16.65,22.95,19.8,32.69
"Rincon 1200","1981-01-01",1981,1,15.55,21.75,18.65,33.96
"Maritza","1981-01-01",1981,1,19.25,24.95,22.1,8.93
"Pitilla","1981-01-01",1981,1,18.65,23.85,21.25,20.26
"Rancho Harold","1981-01-01",1981,1,18.45,24.55,21.5,10.76
"Cacao Arenales","1981-02-01",1981,2,17.65,24.15,20.9,12.3
"Bosque Humedo","1981-02-01",1981,2,21.95,27.75,24.85,2.45
"Naranjo Carbonal","1981-02-01",1981,2,23.65,28.75,26.2,0.82
"Cacao Sendero Circular","1981-02-01",1981,2,16.75,23.25,20,12.95
"Gongora","1981-02-01",1981,2,20.05,26.85,23.45,8.62
"Rincon 1000","1981-02-01",1981,2,17.45,24.35,20.9,28.14
"Rincon 1200","1981-02-01",1981,2,16.25,22.95,19.6,29.66
"Maritza","1981-02-01",1981,2,20.05,26.35,23.2,8.94
"Pitilla","1981-02-01",1981,2,19.35,25.15,22.25,21.93
"Rancho Harold","1981-02-01",1981,2,19.25,26.05,22.65,9.82
"Cacao Arenales","1981-03-01",1981,3,17.85,26.25,22.05,10.93
"Bosque Humedo","1981-03-01",1981,3,22.55,29.75,26.15,4.26
"Naranjo Carbonal","1981-03-01",1981,3,24.55,30.35,27.45,2.14
"Cacao Sendero Circular","1981-03-01",1981,3,16.95,25.25,21.1,11.32
"Gongora","1981-03-01",1981,3,20.45,29.15,24.8,8.58
"Rincon 1000","1981-03-01",1981,3,17.45,26.45,21.95,18.51
"Rincon 1200","1981-03-01",1981,3,16.15,24.95,20.55,18.94
"Maritza","1981-03-01",1981,3,20.55,28.65,24.6,8.83
"Pitilla","1981-03-01",1981,3,19.95,27.25,23.6,16.61
"Rancho Harold","1981-03-01",1981,3,19.65,28.35,24,9.41
"Cacao Arenales","1981-04-01",1981,4,18.45,26.15,22.3,46.05
"Bosque Humedo","1981-04-01",1981,4,23.05,29.85,26.45,21.24
"Naranjo Carbonal","1981-04-01",1981,4,24.95,30.75,27.85,13.69
"Cacao Sendero Circular","1981-04-01",1981,4,17.55,25.15,21.35,47.95
"Gongora","1981-04-01",1981,4,21.05,29.05,25.05,35.02
"Rincon 1000","1981-04-01",1981,4,18.25,26.05,22.15,73.84
"Rincon 1200","1981-04-01",1981,4,16.95,24.65,20.8,77.4
"Maritza","1981-04-01",1981,4,21.05,28.55,24.8,36.26
"Pitilla","1981-04-01",1981,4,20.35,27.15,23.75,71.28
"Rancho Harold","1981-04-01",1981,4,20.25,28.15,24.2,38.58
"Cacao Arenales","1981-05-01",1981,5,18.75,24.55,21.65,457.28
"Bosque Humedo","1981-05-01",1981,5,23.15,27.95,25.55,436.26
"Naranjo Carbonal","1981-05-01",1981,5,24.95,28.75,26.85,377
"Cacao Sendero Circular","1981-05-01",1981,5,17.95,23.65,20.8,458.6
"Gongora","1981-05-01",1981,5,21.15,27.15,24.15,463.24
"Rincon 1000","1981-05-01",1981,5,18.45,24.55,21.5,564.53
"Rincon 1200","1981-05-01",1981,5,17.25,23.25,20.25,560.98
"Maritza","1981-05-01",1981,5,21.35,27.05,24.2,401.63
"Pitilla","1981-05-01",1981,5,20.85,26.05,23.45,456
"Rancho Harold","1981-05-01",1981,5,20.45,26.35,23.4,463.51
"Cacao Arenales","1981-06-01",1981,6,18.45,23.45,20.95,534.29
"Bosque Humedo","1981-06-01",1981,6,22.55,26.75,24.65,593.3
"Naranjo Carbonal","1981-06-01",1981,6,24.45,27.75,26.1,486.89
"Cacao Sendero Circular","1981-06-01",1981,6,17.65,22.65,20.15,541.72
"Gongora","1981-06-01",1981,6,20.65,25.85,23.25,532.48
"Rincon 1000","1981-06-01",1981,6,18.05,23.65,20.85,521.89
"Rincon 1200","1981-06-01",1981,6,16.95,22.45,19.7,522.56
"Maritza","1981-06-01",1981,6,20.95,25.75,23.35,525.2
"Pitilla","1981-06-01",1981,6,20.45,24.95,22.7,535.31
"Rancho Harold","1981-06-01",1981,6,19.95,25.15,22.55,531.31
"Cacao Arenales","1981-07-01",1981,7,18.25,23.85,21.05,398
"Bosque Humedo","1981-07-01",1981,7,22.65,27.65,25.15,336.25
"Naranjo Carbonal","1981-07-01",1981,7,24.65,28.85,26.75,221.57
"Cacao Sendero Circular","1981-07-01",1981,7,17.45,22.95,20.2,414.13
"Gongora","1981-07-01",1981,7,20.65,26.35,23.5,338.17
"Rincon 1000","1981-07-01",1981,7,17.95,23.95,20.95,340.53
"Rincon 1200","1981-07-01",1981,7,16.85,22.75,19.8,358.49
"Maritza","1981-07-01",1981,7,20.75,26.15,23.45,397.38
"Pitilla","1981-07-01",1981,7,20.25,25.15,22.7,522.23
"Rancho Harold","1981-07-01",1981,7,19.85,25.65,22.75,355.03
"Cacao Arenales","1981-08-01",1981,8,18.25,23.75,21,348.84
"Bosque Humedo","1981-08-01",1981,8,22.45,26.95,24.7,318.04
"Naranjo Carbonal","1981-08-01",1981,8,24.25,27.95,26.1,252.19
"Cacao Sendero Circular","1981-08-01",1981,8,17.45,22.85,20.15,354.3
"Gongora","1981-08-01",1981,8,20.45,26.15,23.3,334.42
"Rincon 1000","1981-08-01",1981,8,17.85,23.85,20.85,412.99
"Rincon 1200","1981-08-01",1981,8,16.75,22.55,19.65,413.69
"Maritza","1981-08-01",1981,8,20.75,25.95,23.35,319.16
"Pitilla","1981-08-01",1981,8,20.25,25.05,22.65,385.02
"Rancho Harold","1981-08-01",1981,8,19.75,25.35,22.55,339.55
"Cacao Arenales","1981-09-01",1981,9,18.05,23.95,21,340.2
"Bosque Humedo","1981-09-01",1981,9,22.45,27.55,25,341.68
"Naranjo Carbonal","1981-09-01",1981,9,24.35,28.55,26.45,271.49
"Cacao Sendero Circular","1981-09-01",1981,9,17.15,22.95,20.05,344.57
"Gongora","1981-09-01",1981,9,20.45,26.55,23.5,327.07
"Rincon 1000","1981-09-01",1981,9,17.65,24.15,20.9,405.4
"Rincon 1200","1981-09-01",1981,9,16.45,22.75,19.6,411.19
"Maritza","1981-09-01",1981,9,20.65,26.35,23.5,308.6
"Pitilla","1981-09-01",1981,9,20.15,25.25,22.7,369.04
"Rancho Harold","1981-09-01",1981,9,19.65,25.75,22.7,332.12
"Cacao Arenales","1981-10-01",1981,10,18.05,23.45,20.75,440.89
"Bosque Humedo","1981-10-01",1981,10,22.35,26.95,24.65,489.36
"Naranjo Carbonal","1981-10-01",1981,10,24.15,27.95,26.05,360.1
"Cacao Sendero Circular","1981-10-01",1981,10,17.15,22.55,19.85,454.34
"Gongora","1981-10-01",1981,10,20.35,26.05,23.2,400.57
"Rincon 1000","1981-10-01",1981,10,17.65,23.65,20.65,412.16
"Rincon 1200","1981-10-01",1981,10,16.45,22.35,19.4,425.75
"Maritza","1981-10-01",1981,10,20.55,25.75,23.15,448.07
"Pitilla","1981-10-01",1981,10,20.05,24.75,22.4,514.62
"Rancho Harold","1981-10-01",1981,10,19.65,25.25,22.45,410.95
"Cacao Arenales","1981-11-01",1981,11,18.15,22.75,20.45,198.35
"Bosque Humedo","1981-11-01",1981,11,22.35,26.45,24.4,159.08
"Naranjo Carbonal","1981-11-01",1981,11,24.15,27.65,25.9,120.48
"Cacao Sendero Circular","1981-11-01",1981,11,17.35,21.85,19.6,204.89
"Gongora","1981-11-01",1981,11,20.45,25.25,22.85,171.32
"Rincon 1000","1981-11-01",1981,11,17.75,22.85,20.3,197.61
"Rincon 1200","1981-11-01",1981,11,16.65,21.65,19.15,201.67
"Maritza","1981-11-01",1981,11,20.55,25.05,22.8,183.32
"Pitilla","1981-11-01",1981,11,20.05,24.05,22.05,241.57
"Rancho Harold","1981-11-01",1981,11,19.65,24.45,22.05,179.16
"Cacao Arenales","1981-12-01",1981,12,17.95,23.45,20.7,101.86
"Bosque Humedo","1981-12-01",1981,12,22.15,27.15,24.65,59.89
"Naranjo Carbonal","1981-12-01",1981,12,23.95,28.35,26.15,37.43
"Cacao Sendero Circular","1981-12-01",1981,12,17.15,22.65,19.9,104.28
"Gongora","1981-12-01",1981,12,20.15,25.95,23.05,86.15
"Rincon 1000","1981-12-01",1981,12,17.65,23.55,20.6,152.38
"Rincon 1200","1981-12-01",1981,12,16.55,22.25,19.4,153.65
"Maritza","1981-12-01",1981,12,20.25,25.55,22.9,82.66
"Pitilla","1981-12-01",1981,12,19.75,24.45,22.1,126.93
"Rancho Harold","1981-12-01",1981,12,19.45,25.15,22.3,91.61
"Cacao Arenales","1982-01-01",1982,1,17.65,24.15,20.9,66.45
"Bosque Humedo","1982-01-01",1982,1,22.15,28.05,25.1,20.07
"Naranjo Carbonal","1982-01-01",1982,1,24.05,29.15,26.6,6.81
"Cacao Sendero Circular","1982-01-01",1982,1,16.85,23.25,20.05,70.09
"Gongora","1982-01-01",1982,1,20.05,26.85,23.45,48.42
"Rincon 1000","1982-01-01",1982,1,17.45,24.45,20.95,118.25
"Rincon 1200","1982-01-01",1982,1,16.25,23.05,19.65,120.97
"Maritza","1982-01-01",1982,1,20.15,26.35,23.25,57.35
"Pitilla","1982-01-01",1982,1,19.55,25.15,22.35,104.81
"Rancho Harold","1982-01-01",1982,1,19.35,26.05,22.7,53.99
"Cacao Arenales","1982-02-01",1982,2,17.75,25.15,21.45,21.69
"Bosque Humedo","1982-02-01",1982,2,22.15,28.75,25.45,4.24
"Naranjo Carbonal","1982-02-01",1982,2,24.05,29.75,26.9,1.24
"Cacao Sendero Circular","1982-02-01",1982,2,16.95,24.15,20.55,22.71
"Gongora","1982-02-01",1982,2,20.15,27.85,24,15.69
"Rincon 1000","1982-02-01",1982,2,17.55,25.25,21.4,44.4
"Rincon 1200","1982-02-01",1982,2,16.35,23.85,20.1,45.49
"Maritza","1982-02-01",1982,2,20.15,27.25,23.7,16.28
"Pitilla","1982-02-01",1982,2,19.55,25.95,22.75,35.78
"Rancho Harold","1982-02-01",1982,2,19.35,26.95,23.15,17.68
"Cacao Arenales","1982-03-01",1982,3,17.65,26.65,22.15,4.9
"Bosque Humedo","1982-03-01",1982,3,22.25,30.15,26.2,1.31
"Naranjo Carbonal","1982-03-01",1982,3,24.25,30.95,27.6,0.44
"Cacao Sendero Circular","1982-03-01",1982,3,16.75,25.65,21.2,5.12
"Gongora","1982-03-01",1982,3,20.05,29.45,24.75,3.55
"Rincon 1000","1982-03-01",1982,3,17.15,26.85,22,8.77
