"siteID","date","Year","Month","P","var","value"
"Bosque Humedo",1960-01-01,1960,1,3.70000004768372,"Tmin",21
"Bosque Humedo",1960-01-01,1960,1,3.70000004768372,"Tmax",30
"Bosque Humedo",1960-01-01,1960,1,3.70000004768372,"Tavg",25.5
"Cacao Arenales",1960-01-01,1960,1,53,"Tmin",17
"Cacao Arenales",1960-01-01,1960,1,53,"Tmax",26
"Cacao Arenales",1960-01-01,1960,1,53,"Tavg",21.5
"Cacao Sendero Circular",1960-01-01,1960,1,53,"Tmin",17
"Cacao Sendero Circular",1960-01-01,1960,1,53,"Tmax",26
"Cacao Sendero Circular",1960-01-01,1960,1,53,"Tavg",21.5
"Gongora",1960-01-01,1960,1,22,"Tmin",18
"Gongora",1960-01-01,1960,1,22,"Tmax",27
"Gongora",1960-01-01,1960,1,22,"Tavg",22.5
"Maritza",1960-01-01,1960,1,53,"Tmin",17
"Maritza",1960-01-01,1960,1,53,"Tmax",26
"Maritza",1960-01-01,1960,1,53,"Tavg",21.5
"Naranjo Carbonal",1960-01-01,1960,1,1.79999995231628,"Tmin",22
"Naranjo Carbonal",1960-01-01,1960,1,1.79999995231628,"Tmax",31
"Naranjo Carbonal",1960-01-01,1960,1,1.79999995231628,"Tavg",26.5
"Pitilla",1960-01-01,1960,1,232.5,"Tmin",17
"Pitilla",1960-01-01,1960,1,232.5,"Tmax",25
"Pitilla",1960-01-01,1960,1,232.5,"Tavg",21
"Rancho Harold",1960-01-01,1960,1,22,"Tmin",18
"Rancho Harold",1960-01-01,1960,1,22,"Tmax",27
"Rancho Harold",1960-01-01,1960,1,22,"Tavg",22.5
"Rincon 1000",1960-01-01,1960,1,15.6000003814697,"Tmin",17
"Rincon 1000",1960-01-01,1960,1,15.6000003814697,"Tmax",27
"Rincon 1000",1960-01-01,1960,1,15.6000003814697,"Tavg",22
"Rincon 1200",1960-01-01,1960,1,66.5,"Tmin",14
"Rincon 1200",1960-01-01,1960,1,66.5,"Tmax",23
"Rincon 1200",1960-01-01,1960,1,66.5,"Tavg",18.5
"Bosque Humedo",1960-02-01,1960,2,5.19999980926514,"Tmin",21
"Bosque Humedo",1960-02-01,1960,2,5.19999980926514,"Tmax",31
"Bosque Humedo",1960-02-01,1960,2,5.19999980926514,"Tavg",26
"Cacao Arenales",1960-02-01,1960,2,51.2999992370605,"Tmin",17
"Cacao Arenales",1960-02-01,1960,2,51.2999992370605,"Tmax",26
"Cacao Arenales",1960-02-01,1960,2,51.2999992370605,"Tavg",21.5
"Cacao Sendero Circular",1960-02-01,1960,2,51.2999992370605,"Tmin",17
"Cacao Sendero Circular",1960-02-01,1960,2,51.2999992370605,"Tmax",26
"Cacao Sendero Circular",1960-02-01,1960,2,51.2999992370605,"Tavg",21.5
"Gongora",1960-02-01,1960,2,26.8999996185303,"Tmin",19
"Gongora",1960-02-01,1960,2,26.8999996185303,"Tmax",28
"Gongora",1960-02-01,1960,2,26.8999996185303,"Tavg",23.5
"Maritza",1960-02-01,1960,2,51.2999992370605,"Tmin",17
"Maritza",1960-02-01,1960,2,51.2999992370605,"Tmax",26
"Maritza",1960-02-01,1960,2,51.2999992370605,"Tavg",21.5
"Naranjo Carbonal",1960-02-01,1960,2,5.09999990463257,"Tmin",22
"Naranjo Carbonal",1960-02-01,1960,2,5.09999990463257,"Tmax",32
"Naranjo Carbonal",1960-02-01,1960,2,5.09999990463257,"Tavg",27
"Pitilla",1960-02-01,1960,2,395.700012207031,"Tmin",17
"Pitilla",1960-02-01,1960,2,395.700012207031,"Tmax",26
"Pitilla",1960-02-01,1960,2,395.700012207031,"Tavg",21.5
"Rancho Harold",1960-02-01,1960,2,26.8999996185303,"Tmin",19
"Rancho Harold",1960-02-01,1960,2,26.8999996185303,"Tmax",28
"Rancho Harold",1960-02-01,1960,2,26.8999996185303,"Tavg",23.5
"Rincon 1000",1960-02-01,1960,2,33.2000007629395,"Tmin",17
"Rincon 1000",1960-02-01,1960,2,33.2000007629395,"Tmax",27
"Rincon 1000",1960-02-01,1960,2,33.2000007629395,"Tavg",22
"Rincon 1200",1960-02-01,1960,2,88.5,"Tmin",13
"Rincon 1200",1960-02-01,1960,2,88.5,"Tmax",23
"Rincon 1200",1960-02-01,1960,2,88.5,"Tavg",18
"Bosque Humedo",1960-03-01,1960,3,23.1000003814697,"Tmin",21
"Bosque Humedo",1960-03-01,1960,3,23.1000003814697,"Tmax",32
"Bosque Humedo",1960-03-01,1960,3,23.1000003814697,"Tavg",26.5
"Cacao Arenales",1960-03-01,1960,3,42.7000007629395,"Tmin",18
"Cacao Arenales",1960-03-01,1960,3,42.7000007629395,"Tmax",27
"Cacao Arenales",1960-03-01,1960,3,42.7000007629395,"Tavg",22.5
"Cacao Sendero Circular",1960-03-01,1960,3,42.7000007629395,"Tmin",18
"Cacao Sendero Circular",1960-03-01,1960,3,42.7000007629395,"Tmax",27
"Cacao Sendero Circular",1960-03-01,1960,3,42.7000007629395,"Tavg",22.5
"Gongora",1960-03-01,1960,3,28.2000007629395,"Tmin",19
"Gongora",1960-03-01,1960,3,28.2000007629395,"Tmax",28
"Gongora",1960-03-01,1960,3,28.2000007629395,"Tavg",23.5
"Maritza",1960-03-01,1960,3,42.7000007629395,"Tmin",18
"Maritza",1960-03-01,1960,3,42.7000007629395,"Tmax",27
"Maritza",1960-03-01,1960,3,42.7000007629395,"Tavg",22.5
"Naranjo Carbonal",1960-03-01,1960,3,6.30000019073486,"Tmin",22
"Naranjo Carbonal",1960-03-01,1960,3,6.30000019073486,"Tmax",32
"Naranjo Carbonal",1960-03-01,1960,3,6.30000019073486,"Tavg",27
"Pitilla",1960-03-01,1960,3,211.100006103516,"Tmin",18
"Pitilla",1960-03-01,1960,3,211.100006103516,"Tmax",27
"Pitilla",1960-03-01,1960,3,211.100006103516,"Tavg",22.5
"Rancho Harold",1960-03-01,1960,3,28.2000007629395,"Tmin",19
"Rancho Harold",1960-03-01,1960,3,28.2000007629395,"Tmax",28
"Rancho Harold",1960-03-01,1960,3,28.2000007629395,"Tavg",23.5
"Rincon 1000",1960-03-01,1960,3,36.5,"Tmin",18
"Rincon 1000",1960-03-01,1960,3,36.5,"Tmax",28
"Rincon 1000",1960-03-01,1960,3,36.5,"Tavg",23
"Rincon 1200",1960-03-01,1960,3,80.8000030517578,"Tmin",14
"Rincon 1200",1960-03-01,1960,3,80.8000030517578,"Tmax",24
"Rincon 1200",1960-03-01,1960,3,80.8000030517578,"Tavg",19
"Bosque Humedo",1960-04-01,1960,4,32.9000015258789,"Tmin",22
"Bosque Humedo",1960-04-01,1960,4,32.9000015258789,"Tmax",33
"Bosque Humedo",1960-04-01,1960,4,32.9000015258789,"Tavg",27.5
"Cacao Arenales",1960-04-01,1960,4,45.5,"Tmin",19
"Cacao Arenales",1960-04-01,1960,4,45.5,"Tmax",28
"Cacao Arenales",1960-04-01,1960,4,45.5,"Tavg",23.5
"Cacao Sendero Circular",1960-04-01,1960,4,45.5,"Tmin",19
"Cacao Sendero Circular",1960-04-01,1960,4,45.5,"Tmax",28
"Cacao Sendero Circular",1960-04-01,1960,4,45.5,"Tavg",23.5
"Gongora",1960-04-01,1960,4,48,"Tmin",20
"Gongora",1960-04-01,1960,4,48,"Tmax",30
"Gongora",1960-04-01,1960,4,48,"Tavg",25
"Maritza",1960-04-01,1960,4,45.5,"Tmin",19
"Maritza",1960-04-01,1960,4,45.5,"Tmax",28
"Maritza",1960-04-01,1960,4,45.5,"Tavg",23.5
"Naranjo Carbonal",1960-04-01,1960,4,35.7999992370605,"Tmin",23
"Naranjo Carbonal",1960-04-01,1960,4,35.7999992370605,"Tmax",33
"Naranjo Carbonal",1960-04-01,1960,4,35.7999992370605,"Tavg",28
"Pitilla",1960-04-01,1960,4,47.0999984741211,"Tmin",19
"Pitilla",1960-04-01,1960,4,47.0999984741211,"Tmax",28
"Pitilla",1960-04-01,1960,4,47.0999984741211,"Tavg",23.5
"Rancho Harold",1960-04-01,1960,4,48,"Tmin",20
"Rancho Harold",1960-04-01,1960,4,48,"Tmax",30
"Rancho Harold",1960-04-01,1960,4,48,"Tavg",25
"Rincon 1000",1960-04-01,1960,4,51,"Tmin",19
"Rincon 1000",1960-04-01,1960,4,51,"Tmax",29
"Rincon 1000",1960-04-01,1960,4,51,"Tavg",24
"Rincon 1200",1960-04-01,1960,4,47,"Tmin",15
"Rincon 1200",1960-04-01,1960,4,47,"Tmax",25
"Rincon 1200",1960-04-01,1960,4,47,"Tavg",20
"Bosque Humedo",1960-05-01,1960,5,235.300003051758,"Tmin",23
"Bosque Humedo",1960-05-01,1960,5,235.300003051758,"Tmax",31
"Bosque Humedo",1960-05-01,1960,5,235.300003051758,"Tavg",27
"Cacao Arenales",1960-05-01,1960,5,250.600006103516,"Tmin",19
"Cacao Arenales",1960-05-01,1960,5,250.600006103516,"Tmax",27
"Cacao Arenales",1960-05-01,1960,5,250.600006103516,"Tavg",23
"Cacao Sendero Circular",1960-05-01,1960,5,250.600006103516,"Tmin",19
"Cacao Sendero Circular",1960-05-01,1960,5,250.600006103516,"Tmax",27
"Cacao Sendero Circular",1960-05-01,1960,5,250.600006103516,"Tavg",23
"Gongora",1960-05-01,1960,5,255.5,"Tmin",20
"Gongora",1960-05-01,1960,5,255.5,"Tmax",29
"Gongora",1960-05-01,1960,5,255.5,"Tavg",24.5
"Maritza",1960-05-01,1960,5,250.600006103516,"Tmin",19
"Maritza",1960-05-01,1960,5,250.600006103516,"Tmax",27
"Maritza",1960-05-01,1960,5,250.600006103516,"Tavg",23
"Naranjo Carbonal",1960-05-01,1960,5,232,"Tmin",23
"Naranjo Carbonal",1960-05-01,1960,5,232,"Tmax",32
"Naranjo Carbonal",1960-05-01,1960,5,232,"Tavg",27.5
"Pitilla",1960-05-01,1960,5,238.800003051758,"Tmin",19
"Pitilla",1960-05-01,1960,5,238.800003051758,"Tmax",27
"Pitilla",1960-05-01,1960,5,238.800003051758,"Tavg",23
"Rancho Harold",1960-05-01,1960,5,255.5,"Tmin",20
"Rancho Harold",1960-05-01,1960,5,255.5,"Tmax",29
"Rancho Harold",1960-05-01,1960,5,255.5,"Tavg",24.5
"Rincon 1000",1960-05-01,1960,5,254.5,"Tmin",19
"Rincon 1000",1960-05-01,1960,5,254.5,"Tmax",28
"Rincon 1000",1960-05-01,1960,5,254.5,"Tavg",23.5
"Rincon 1200",1960-05-01,1960,5,256.5,"Tmin",16
"Rincon 1200",1960-05-01,1960,5,256.5,"Tmax",24
"Rincon 1200",1960-05-01,1960,5,256.5,"Tavg",20
"Bosque Humedo",1960-06-01,1960,6,266,"Tmin",22
"Bosque Humedo",1960-06-01,1960,6,266,"Tmax",29
"Bosque Humedo",1960-06-01,1960,6,266,"Tavg",25.5
"Cacao Arenales",1960-06-01,1960,6,291.799987792969,"Tmin",18
"Cacao Arenales",1960-06-01,1960,6,291.799987792969,"Tmax",26
"Cacao Arenales",1960-06-01,1960,6,291.799987792969,"Tavg",22
"Cacao Sendero Circular",1960-06-01,1960,6,291.799987792969,"Tmin",18
"Cacao Sendero Circular",1960-06-01,1960,6,291.799987792969,"Tmax",26
"Cacao Sendero Circular",1960-06-01,1960,6,291.799987792969,"Tavg",22
"Gongora",1960-06-01,1960,6,281.399993896484,"Tmin",20
"Gongora",1960-06-01,1960,6,281.399993896484,"Tmax",27
"Gongora",1960-06-01,1960,6,281.399993896484,"Tavg",23.5
"Maritza",1960-06-01,1960,6,291.799987792969,"Tmin",18
"Maritza",1960-06-01,1960,6,291.799987792969,"Tmax",26
"Maritza",1960-06-01,1960,6,291.799987792969,"Tavg",22
"Naranjo Carbonal",1960-06-01,1960,6,261.600006103516,"Tmin",23
"Naranjo Carbonal",1960-06-01,1960,6,261.600006103516,"Tmax",30
"Naranjo Carbonal",1960-06-01,1960,6,261.600006103516,"Tavg",26.5
"Pitilla",1960-06-01,1960,6,289.200012207031,"Tmin",18
"Pitilla",1960-06-01,1960,6,289.200012207031,"Tmax",26
"Pitilla",1960-06-01,1960,6,289.200012207031,"Tavg",22
"Rancho Harold",1960-06-01,1960,6,281.399993896484,"Tmin",20
"Rancho Harold",1960-06-01,1960,6,281.399993896484,"Tmax",27
"Rancho Harold",1960-06-01,1960,6,281.399993896484,"Tavg",23.5
"Rincon 1000",1960-06-01,1960,6,286.299987792969,"Tmin",18
"Rincon 1000",1960-06-01,1960,6,286.299987792969,"Tmax",26
"Rincon 1000",1960-06-01,1960,6,286.299987792969,"Tavg",22
"Rincon 1200",1960-06-01,1960,6,294.799987792969,"Tmin",15
"Rincon 1200",1960-06-01,1960,6,294.799987792969,"Tmax",23
"Rincon 1200",1960-06-01,1960,6,294.799987792969,"Tavg",19
"Bosque Humedo",1960-07-01,1960,7,193.800003051758,"Tmin",22
"Bosque Humedo",1960-07-01,1960,7,193.800003051758,"Tmax",30
"Bosque Humedo",1960-07-01,1960,7,193.800003051758,"Tavg",26
"Cacao Arenales",1960-07-01,1960,7,302.200012207031,"Tmin",19
"Cacao Arenales",1960-07-01,1960,7,302.200012207031,"Tmax",26
"Cacao Arenales",1960-07-01,1960,7,302.200012207031,"Tavg",22.5
"Cacao Sendero Circular",1960-07-01,1960,7,302.200012207031,"Tmin",19
"Cacao Sendero Circular",1960-07-01,1960,7,302.200012207031,"Tmax",26
"Cacao Sendero Circular",1960-07-01,1960,7,302.200012207031,"Tavg",22.5
"Gongora",1960-07-01,1960,7,232.199996948242,"Tmin",20
"Gongora",1960-07-01,1960,7,232.199996948242,"Tmax",27
"Gongora",1960-07-01,1960,7,232.199996948242,"Tavg",23.5
"Maritza",1960-07-01,1960,7,302.200012207031,"Tmin",19
"Maritza",1960-07-01,1960,7,302.200012207031,"Tmax",26
"Maritza",1960-07-01,1960,7,302.200012207031,"Tavg",22.5
"Naranjo Carbonal",1960-07-01,1960,7,148.600006103516,"Tmin",23
"Naranjo Carbonal",1960-07-01,1960,7,148.600006103516,"Tmax",30
"Naranjo Carbonal",1960-07-01,1960,7,148.600006103516,"Tavg",26.5
"Pitilla",1960-07-01,1960,7,399.600006103516,"Tmin",19
"Pitilla",1960-07-01,1960,7,399.600006103516,"Tmax",26
"Pitilla",1960-07-01,1960,7,399.600006103516,"Tavg",22.5
"Rancho Harold",1960-07-01,1960,7,232.199996948242,"Tmin",20
"Rancho Harold",1960-07-01,1960,7,232.199996948242,"Tmax",27
"Rancho Harold",1960-07-01,1960,7,232.199996948242,"Tavg",23.5
