"siteID","date","Year","Month","P","var","value"
"Rincon 1000",1960-07-01,1960,7,257.299987792969,"Tmin",19
"Rincon 1000",1960-07-01,1960,7,257.299987792969,"Tmax",26
"Rincon 1000",1960-07-01,1960,7,257.299987792969,"Tavg",22.5
"Rincon 1200",1960-07-01,1960,7,272.5,"Tmin",15
"Rincon 1200",1960-07-01,1960,7,272.5,"Tmax",23
"Rincon 1200",1960-07-01,1960,7,272.5,"Tavg",19
"Bosque Humedo",1960-08-01,1960,8,298.5,"Tmin",22
"Bosque Humedo",1960-08-01,1960,8,298.5,"Tmax",30
"Bosque Humedo",1960-08-01,1960,8,298.5,"Tavg",26
"Cacao Arenales",1960-08-01,1960,8,407.200012207031,"Tmin",18
"Cacao Arenales",1960-08-01,1960,8,407.200012207031,"Tmax",26
"Cacao Arenales",1960-08-01,1960,8,407.200012207031,"Tavg",22
"Cacao Sendero Circular",1960-08-01,1960,8,407.200012207031,"Tmin",18
"Cacao Sendero Circular",1960-08-01,1960,8,407.200012207031,"Tmax",26
"Cacao Sendero Circular",1960-08-01,1960,8,407.200012207031,"Tavg",22
"Gongora",1960-08-01,1960,8,370.399993896484,"Tmin",19
"Gongora",1960-08-01,1960,8,370.399993896484,"Tmax",27
"Gongora",1960-08-01,1960,8,370.399993896484,"Tavg",23
"Maritza",1960-08-01,1960,8,407.200012207031,"Tmin",18
"Maritza",1960-08-01,1960,8,407.200012207031,"Tmax",26
"Maritza",1960-08-01,1960,8,407.200012207031,"Tavg",22
"Naranjo Carbonal",1960-08-01,1960,8,305.600006103516,"Tmin",23
"Naranjo Carbonal",1960-08-01,1960,8,305.600006103516,"Tmax",31
"Naranjo Carbonal",1960-08-01,1960,8,305.600006103516,"Tavg",27
"Pitilla",1960-08-01,1960,8,484.399993896484,"Tmin",18
"Pitilla",1960-08-01,1960,8,484.399993896484,"Tmax",26
"Pitilla",1960-08-01,1960,8,484.399993896484,"Tavg",22
"Rancho Harold",1960-08-01,1960,8,370.399993896484,"Tmin",19
"Rancho Harold",1960-08-01,1960,8,370.399993896484,"Tmax",27
"Rancho Harold",1960-08-01,1960,8,370.399993896484,"Tavg",23
"Rincon 1000",1960-08-01,1960,8,426.700012207031,"Tmin",18
"Rincon 1000",1960-08-01,1960,8,426.700012207031,"Tmax",27
"Rincon 1000",1960-08-01,1960,8,426.700012207031,"Tavg",22.5
"Rincon 1200",1960-08-01,1960,8,448.200012207031,"Tmin",15
"Rincon 1200",1960-08-01,1960,8,448.200012207031,"Tmax",23
"Rincon 1200",1960-08-01,1960,8,448.200012207031,"Tavg",19
"Bosque Humedo",1960-09-01,1960,9,307.200012207031,"Tmin",22
"Bosque Humedo",1960-09-01,1960,9,307.200012207031,"Tmax",30
"Bosque Humedo",1960-09-01,1960,9,307.200012207031,"Tavg",26
"Cacao Arenales",1960-09-01,1960,9,333.299987792969,"Tmin",18
"Cacao Arenales",1960-09-01,1960,9,333.299987792969,"Tmax",26
"Cacao Arenales",1960-09-01,1960,9,333.299987792969,"Tavg",22
"Cacao Sendero Circular",1960-09-01,1960,9,333.299987792969,"Tmin",18
"Cacao Sendero Circular",1960-09-01,1960,9,333.299987792969,"Tmax",26
"Cacao Sendero Circular",1960-09-01,1960,9,333.299987792969,"Tavg",22
"Gongora",1960-09-01,1960,9,314.899993896484,"Tmin",19
"Gongora",1960-09-01,1960,9,314.899993896484,"Tmax",27
"Gongora",1960-09-01,1960,9,314.899993896484,"Tavg",23
"Maritza",1960-09-01,1960,9,333.299987792969,"Tmin",18
"Maritza",1960-09-01,1960,9,333.299987792969,"Tmax",26
"Maritza",1960-09-01,1960,9,333.299987792969,"Tavg",22
"Naranjo Carbonal",1960-09-01,1960,9,311.299987792969,"Tmin",22
"Naranjo Carbonal",1960-09-01,1960,9,311.299987792969,"Tmax",30
"Naranjo Carbonal",1960-09-01,1960,9,311.299987792969,"Tavg",26
"Pitilla",1960-09-01,1960,9,323.399993896484,"Tmin",18
"Pitilla",1960-09-01,1960,9,323.399993896484,"Tmax",26
"Pitilla",1960-09-01,1960,9,323.399993896484,"Tavg",22
"Rancho Harold",1960-09-01,1960,9,314.899993896484,"Tmin",19
"Rancho Harold",1960-09-01,1960,9,314.899993896484,"Tmax",27
"Rancho Harold",1960-09-01,1960,9,314.899993896484,"Tavg",23
"Rincon 1000",1960-09-01,1960,9,327.600006103516,"Tmin",18
"Rincon 1000",1960-09-01,1960,9,327.600006103516,"Tmax",27
"Rincon 1000",1960-09-01,1960,9,327.600006103516,"Tavg",22.5
"Rincon 1200",1960-09-01,1960,9,352,"Tmin",15
"Rincon 1200",1960-09-01,1960,9,352,"Tmax",23
"Rincon 1200",1960-09-01,1960,9,352,"Tavg",19
"Bosque Humedo",1960-10-01,1960,10,554.700012207031,"Tmin",22
"Bosque Humedo",1960-10-01,1960,10,554.700012207031,"Tmax",29
"Bosque Humedo",1960-10-01,1960,10,554.700012207031,"Tavg",25.5
"Cacao Arenales",1960-10-01,1960,10,594.5,"Tmin",18
"Cacao Arenales",1960-10-01,1960,10,594.5,"Tmax",26
"Cacao Arenales",1960-10-01,1960,10,594.5,"Tavg",22
"Cacao Sendero Circular",1960-10-01,1960,10,594.5,"Tmin",18
"Cacao Sendero Circular",1960-10-01,1960,10,594.5,"Tmax",26
"Cacao Sendero Circular",1960-10-01,1960,10,594.5,"Tavg",22
"Gongora",1960-10-01,1960,10,571.099975585938,"Tmin",19
"Gongora",1960-10-01,1960,10,571.099975585938,"Tmax",27
"Gongora",1960-10-01,1960,10,571.099975585938,"Tavg",23
"Maritza",1960-10-01,1960,10,594.5,"Tmin",18
"Maritza",1960-10-01,1960,10,594.5,"Tmax",26
"Maritza",1960-10-01,1960,10,594.5,"Tavg",22
"Naranjo Carbonal",1960-10-01,1960,10,610,"Tmin",22
"Naranjo Carbonal",1960-10-01,1960,10,610,"Tmax",30
"Naranjo Carbonal",1960-10-01,1960,10,610,"Tavg",26
"Pitilla",1960-10-01,1960,10,593.200012207031,"Tmin",18
"Pitilla",1960-10-01,1960,10,593.200012207031,"Tmax",26
"Pitilla",1960-10-01,1960,10,593.200012207031,"Tavg",22
"Rancho Harold",1960-10-01,1960,10,571.099975585938,"Tmin",19
"Rancho Harold",1960-10-01,1960,10,571.099975585938,"Tmax",27
"Rancho Harold",1960-10-01,1960,10,571.099975585938,"Tavg",23
"Rincon 1000",1960-10-01,1960,10,644.299987792969,"Tmin",18
"Rincon 1000",1960-10-01,1960,10,644.299987792969,"Tmax",26
"Rincon 1000",1960-10-01,1960,10,644.299987792969,"Tavg",22
"Rincon 1200",1960-10-01,1960,10,644.799987792969,"Tmin",15
"Rincon 1200",1960-10-01,1960,10,644.799987792969,"Tmax",23
"Rincon 1200",1960-10-01,1960,10,644.799987792969,"Tavg",19
"Bosque Humedo",1960-11-01,1960,11,92.6999969482422,"Tmin",21
"Bosque Humedo",1960-11-01,1960,11,92.6999969482422,"Tmax",29
"Bosque Humedo",1960-11-01,1960,11,92.6999969482422,"Tavg",25
"Cacao Arenales",1960-11-01,1960,11,173,"Tmin",18
"Cacao Arenales",1960-11-01,1960,11,173,"Tmax",25
"Cacao Arenales",1960-11-01,1960,11,173,"Tavg",21.5
"Cacao Sendero Circular",1960-11-01,1960,11,173,"Tmin",18
"Cacao Sendero Circular",1960-11-01,1960,11,173,"Tmax",25
"Cacao Sendero Circular",1960-11-01,1960,11,173,"Tavg",21.5
"Gongora",1960-11-01,1960,11,144.699996948242,"Tmin",19
"Gongora",1960-11-01,1960,11,144.699996948242,"Tmax",27
"Gongora",1960-11-01,1960,11,144.699996948242,"Tavg",23
"Maritza",1960-11-01,1960,11,173,"Tmin",18
"Maritza",1960-11-01,1960,11,173,"Tmax",25
"Maritza",1960-11-01,1960,11,173,"Tavg",21.5
"Naranjo Carbonal",1960-11-01,1960,11,62.7999992370605,"Tmin",22
"Naranjo Carbonal",1960-11-01,1960,11,62.7999992370605,"Tmax",30
"Naranjo Carbonal",1960-11-01,1960,11,62.7999992370605,"Tavg",26
"Pitilla",1960-11-01,1960,11,277.299987792969,"Tmin",18
"Pitilla",1960-11-01,1960,11,277.299987792969,"Tmax",25
"Pitilla",1960-11-01,1960,11,277.299987792969,"Tavg",21.5
"Rancho Harold",1960-11-01,1960,11,144.699996948242,"Tmin",19
"Rancho Harold",1960-11-01,1960,11,144.699996948242,"Tmax",27
"Rancho Harold",1960-11-01,1960,11,144.699996948242,"Tavg",23
"Rincon 1000",1960-11-01,1960,11,143.5,"Tmin",18
"Rincon 1000",1960-11-01,1960,11,143.5,"Tmax",26
"Rincon 1000",1960-11-01,1960,11,143.5,"Tavg",22
"Rincon 1200",1960-11-01,1960,11,158.300003051758,"Tmin",14
"Rincon 1200",1960-11-01,1960,11,158.300003051758,"Tmax",22
"Rincon 1200",1960-11-01,1960,11,158.300003051758,"Tavg",18
"Bosque Humedo",1960-12-01,1960,12,25.1000003814697,"Tmin",20
"Bosque Humedo",1960-12-01,1960,12,25.1000003814697,"Tmax",29
"Bosque Humedo",1960-12-01,1960,12,25.1000003814697,"Tavg",24.5
"Cacao Arenales",1960-12-01,1960,12,161.5,"Tmin",16
"Cacao Arenales",1960-12-01,1960,12,161.5,"Tmax",25
"Cacao Arenales",1960-12-01,1960,12,161.5,"Tavg",20.5
"Cacao Sendero Circular",1960-12-01,1960,12,161.5,"Tmin",16
"Cacao Sendero Circular",1960-12-01,1960,12,161.5,"Tmax",25
"Cacao Sendero Circular",1960-12-01,1960,12,161.5,"Tavg",20.5
"Gongora",1960-12-01,1960,12,99.3000030517578,"Tmin",18
"Gongora",1960-12-01,1960,12,99.3000030517578,"Tmax",26
"Gongora",1960-12-01,1960,12,99.3000030517578,"Tavg",22
"Maritza",1960-12-01,1960,12,161.5,"Tmin",16
"Maritza",1960-12-01,1960,12,161.5,"Tmax",25
"Maritza",1960-12-01,1960,12,161.5,"Tavg",20.5
"Naranjo Carbonal",1960-12-01,1960,12,13.8000001907349,"Tmin",21
"Naranjo Carbonal",1960-12-01,1960,12,13.8000001907349,"Tmax",30
"Naranjo Carbonal",1960-12-01,1960,12,13.8000001907349,"Tavg",25.5
"Pitilla",1960-12-01,1960,12,376.899993896484,"Tmin",16
"Pitilla",1960-12-01,1960,12,376.899993896484,"Tmax",24
"Pitilla",1960-12-01,1960,12,376.899993896484,"Tavg",20
"Rancho Harold",1960-12-01,1960,12,99.3000030517578,"Tmin",18
"Rancho Harold",1960-12-01,1960,12,99.3000030517578,"Tmax",26
"Rancho Harold",1960-12-01,1960,12,99.3000030517578,"Tavg",22
"Rincon 1000",1960-12-01,1960,12,72.9000015258789,"Tmin",16
"Rincon 1000",1960-12-01,1960,12,72.9000015258789,"Tmax",25
"Rincon 1000",1960-12-01,1960,12,72.9000015258789,"Tavg",20.5
"Rincon 1200",1960-12-01,1960,12,145.199996948242,"Tmin",13
"Rincon 1200",1960-12-01,1960,12,145.199996948242,"Tmax",21
"Rincon 1200",1960-12-01,1960,12,145.199996948242,"Tavg",17
"Bosque Humedo",1961-01-01,1961,1,1.29999995231628,"Tmin",21
"Bosque Humedo",1961-01-01,1961,1,1.29999995231628,"Tmax",30
"Bosque Humedo",1961-01-01,1961,1,1.29999995231628,"Tavg",25.5
"Cacao Arenales",1961-01-01,1961,1,17.2000007629395,"Tmin",17
"Cacao Arenales",1961-01-01,1961,1,17.2000007629395,"Tmax",26
"Cacao Arenales",1961-01-01,1961,1,17.2000007629395,"Tavg",21.5
"Cacao Sendero Circular",1961-01-01,1961,1,17.2000007629395,"Tmin",17
"Cacao Sendero Circular",1961-01-01,1961,1,17.2000007629395,"Tmax",26
"Cacao Sendero Circular",1961-01-01,1961,1,17.2000007629395,"Tavg",21.5
"Gongora",1961-01-01,1961,1,7.19999980926514,"Tmin",19
"Gongora",1961-01-01,1961,1,7.19999980926514,"Tmax",27
"Gongora",1961-01-01,1961,1,7.19999980926514,"Tavg",23
"Maritza",1961-01-01,1961,1,17.2000007629395,"Tmin",17
"Maritza",1961-01-01,1961,1,17.2000007629395,"Tmax",26
"Maritza",1961-01-01,1961,1,17.2000007629395,"Tavg",21.5
"Naranjo Carbonal",1961-01-01,1961,1,0.600000023841858,"Tmin",22
"Naranjo Carbonal",1961-01-01,1961,1,0.600000023841858,"Tmax",31
"Naranjo Carbonal",1961-01-01,1961,1,0.600000023841858,"Tavg",26.5
"Pitilla",1961-01-01,1961,1,74.4000015258789,"Tmin",17
"Pitilla",1961-01-01,1961,1,74.4000015258789,"Tmax",25
"Pitilla",1961-01-01,1961,1,74.4000015258789,"Tavg",21
"Rancho Harold",1961-01-01,1961,1,7.19999980926514,"Tmin",19
"Rancho Harold",1961-01-01,1961,1,7.19999980926514,"Tmax",27
"Rancho Harold",1961-01-01,1961,1,7.19999980926514,"Tavg",23
"Rincon 1000",1961-01-01,1961,1,5.09999990463257,"Tmin",17
"Rincon 1000",1961-01-01,1961,1,5.09999990463257,"Tmax",27
"Rincon 1000",1961-01-01,1961,1,5.09999990463257,"Tavg",22
"Rincon 1200",1961-01-01,1961,1,21.7999992370605,"Tmin",14
"Rincon 1200",1961-01-01,1961,1,21.7999992370605,"Tmax",23
"Rincon 1200",1961-01-01,1961,1,21.7999992370605,"Tavg",18.5
"Bosque Humedo",1961-02-01,1961,2,0.5,"Tmin",21
