"siteID","date","Year","Month","Tmin","Tmax","Tavg","P"
"Cacao Sendero Circular","1960-10-01",1960,10,18,26,22,594.5
"Gongora","1960-10-01",1960,10,19,27,23,571.099975585938
"Maritza","1960-10-01",1960,10,18,26,22,594.5
"Naranjo Carbonal","1960-10-01",1960,10,22,30,26,610
"Pitilla","1960-10-01",1960,10,18,26,22,593.200012207031
"Rancho Harold","1960-10-01",1960,10,19,27,23,571.099975585938
"Rincon 1000","1960-10-01",1960,10,18,26,22,644.299987792969
"Rincon 1200","1960-10-01",1960,10,15,23,19,644.799987792969
"Bosque Humedo","1960-11-01",1960,11,21,29,25,92.6999969482422
"Cacao Arenales","1960-11-01",1960,11,18,25,21.5,173
"Cacao Sendero Circular","1960-11-01",1960,11,18,25,21.5,173
"Gongora","1960-11-01",1960,11,19,27,23,144.699996948242
"Maritza","1960-11-01",1960,11,18,25,21.5,173
"Naranjo Carbonal","1960-11-01",1960,11,22,30,26,62.7999992370605
"Pitilla","1960-11-01",1960,11,18,25,21.5,277.299987792969
"Rancho Harold","1960-11-01",1960,11,19,27,23,144.699996948242
"Rincon 1000","1960-11-01",1960,11,18,26,22,143.5
"Rincon 1200","1960-11-01",1960,11,14,22,18,158.300003051758
"Bosque Humedo","1960-12-01",1960,12,20,29,24.5,25.1000003814697
"Cacao Arenales","1960-12-01",1960,12,16,25,20.5,161.5
"Cacao Sendero Circular","1960-12-01",1960,12,16,25,20.5,161.5
"Gongora","1960-12-01",1960,12,18,26,22,99.3000030517578
"Maritza","1960-12-01",1960,12,16,25,20.5,161.5
"Naranjo Carbonal","1960-12-01",1960,12,21,30,25.5,13.8000001907349
"Pitilla","1960-12-01",1960,12,16,24,20,376.899993896484
"Rancho Harold","1960-12-01",1960,12,18,26,22,99.3000030517578
"Rincon 1000","1960-12-01",1960,12,16,25,20.5,72.9000015258789
"Rincon 1200","1960-12-01",1960,12,13,21,17,145.199996948242
"Bosque Humedo","1961-01-01",1961,1,21,30,25.5,1.29999995231628
"Cacao Arenales","1961-01-01",1961,1,17,26,21.5,17.2000007629395
"Cacao Sendero Circular","1961-01-01",1961,1,17,26,21.5,17.2000007629395
"Gongora","1961-01-01",1961,1,19,27,23,7.19999980926514
"Maritza","1961-01-01",1961,1,17,26,21.5,17.2000007629395
"Naranjo Carbonal","1961-01-01",1961,1,22,31,26.5,0.600000023841858
"Pitilla","1961-01-01",1961,1,17,25,21,74.4000015258789
"Rancho Harold","1961-01-01",1961,1,19,27,23,7.19999980926514
"Rincon 1000","1961-01-01",1961,1,17,27,22,5.09999990463257
"Rincon 1200","1961-01-01",1961,1,14,23,18.5,21.7999992370605
"Bosque Humedo","1961-02-01",1961,2,21,31,26,0.5
"Cacao Arenales","1961-02-01",1961,2,17,26,21.5,3.90000009536743
"Cacao Sendero Circular","1961-02-01",1961,2,17,26,21.5,3.90000009536743
"Gongora","1961-02-01",1961,2,19,28,23.5,2.09999990463257
"Maritza","1961-02-01",1961,2,17,26,21.5,3.90000009536743
"Naranjo Carbonal","1961-02-01",1961,2,22,32,27,0.600000023841858
"Pitilla","1961-02-01",1961,2,17,26,21.5,27.7999992370605
"Rancho Harold","1961-02-01",1961,2,19,28,23.5,2.09999990463257
"Rincon 1000","1961-02-01",1961,2,17,27,22,2.09999990463257
"Rincon 1200","1961-02-01",1961,2,13,23,18,5.59999990463257
"Bosque Humedo","1961-03-01",1961,3,22,32,27,5.90000009536743
"Cacao Arenales","1961-03-01",1961,3,18,27,22.5,9.89999961853027
"Cacao Sendero Circular","1961-03-01",1961,3,18,27,22.5,9.89999961853027
"Gongora","1961-03-01",1961,3,19,29,24,6.59999990463257
"Maritza","1961-03-01",1961,3,18,27,22.5,9.89999961853027
"Naranjo Carbonal","1961-03-01",1961,3,22,33,27.5,1.70000004768372
"Pitilla","1961-03-01",1961,3,18,27,22.5,47.7000007629395
"Rancho Harold","1961-03-01",1961,3,19,29,24,6.59999990463257
"Rincon 1000","1961-03-01",1961,3,18,28,23,8
"Rincon 1200","1961-03-01",1961,3,14,24,19,17.6000003814697
"Bosque Humedo","1961-04-01",1961,4,22,33,27.5,20.2000007629395
"Cacao Arenales","1961-04-01",1961,4,19,28,23.5,25.8999996185303
"Cacao Sendero Circular","1961-04-01",1961,4,19,28,23.5,25.8999996185303
"Gongora","1961-04-01",1961,4,20,30,25,27.2999992370605
"Maritza","1961-04-01",1961,4,19,28,23.5,25.8999996185303
"Naranjo Carbonal","1961-04-01",1961,4,23,33,28,22.7999992370605
"Pitilla","1961-04-01",1961,4,19,28,23.5,26.2999992370605
"Rancho Harold","1961-04-01",1961,4,20,30,25,27.2999992370605
"Rincon 1000","1961-04-01",1961,4,19,29,24,26.6000003814697
"Rincon 1200","1961-04-01",1961,4,15,25,20,24.6000003814697
"Bosque Humedo","1961-05-01",1961,5,22,31,26.5,97.1999969482422
"Cacao Arenales","1961-05-01",1961,5,19,27,23,106.800003051758
"Cacao Sendero Circular","1961-05-01",1961,5,19,27,23,106.800003051758
"Gongora","1961-05-01",1961,5,20,28,24,108.699996948242
"Maritza","1961-05-01",1961,5,19,27,23,106.800003051758
"Naranjo Carbonal","1961-05-01",1961,5,23,31,27,94.4000015258789
"Pitilla","1961-05-01",1961,5,19,26,22.5,102.900001525879
"Rancho Harold","1961-05-01",1961,5,20,28,24,108.699996948242
"Rincon 1000","1961-05-01",1961,5,19,27,23,110.5
"Rincon 1200","1961-05-01",1961,5,15,24,19.5,111.5
"Bosque Humedo","1961-06-01",1961,6,21,29,25,240
"Cacao Arenales","1961-06-01",1961,6,18,25,21.5,264.200012207031
"Cacao Sendero Circular","1961-06-01",1961,6,18,25,21.5,264.200012207031
"Gongora","1961-06-01",1961,6,19,26,22.5,254.399993896484
"Maritza","1961-06-01",1961,6,18,25,21.5,264.200012207031
"Naranjo Carbonal","1961-06-01",1961,6,22,29,25.5,235.5
"Pitilla","1961-06-01",1961,6,18,25,21.5,262.200012207031
"Rancho Harold","1961-06-01",1961,6,19,26,22.5,254.399993896484
"Rincon 1000","1961-06-01",1961,6,18,26,22,258.100006103516
"Rincon 1200","1961-06-01",1961,6,14,22,18,266.100006103516
"Bosque Humedo","1961-07-01",1961,7,21,29,25,263.299987792969
"Cacao Arenales","1961-07-01",1961,7,18,25,21.5,407.5
"Cacao Sendero Circular","1961-07-01",1961,7,18,25,21.5,407.5
"Gongora","1961-07-01",1961,7,19,26,22.5,312.899993896484
"Maritza","1961-07-01",1961,7,18,25,21.5,407.5
"Naranjo Carbonal","1961-07-01",1961,7,22,30,26,202.399993896484
"Pitilla","1961-07-01",1961,7,18,25,21.5,537.799987792969
"Rancho Harold","1961-07-01",1961,7,19,26,22.5,312.899993896484
"Rincon 1000","1961-07-01",1961,7,18,26,22,342.899993896484
"Rincon 1200","1961-07-01",1961,7,15,22,18.5,363.600006103516
"Bosque Humedo","1961-08-01",1961,8,21,30,25.5,122.199996948242
"Cacao Arenales","1961-08-01",1961,8,18,26,22,168.300003051758
"Cacao Sendero Circular","1961-08-01",1961,8,18,26,22,168.300003051758
"Gongora","1961-08-01",1961,8,19,27,23,152.699996948242
"Maritza","1961-08-01",1961,8,18,26,22,168.300003051758
"Naranjo Carbonal","1961-08-01",1961,8,22,30,26,124.300003051758
"Pitilla","1961-08-01",1961,8,18,26,22,201
"Rancho Harold","1961-08-01",1961,8,19,27,23,152.699996948242
