"siteID","date","Year","Month","P","var","value"
"Maritza","1979-05-01",1979,5,121.28,"Tavg",24.65
"Pitilla","1979-05-01",1979,5,139.49,"Tmin",20.65
"Pitilla","1979-05-01",1979,5,139.49,"Tmax",26.75
"Pitilla","1979-05-01",1979,5,139.49,"Tavg",23.7
"Rancho Harold","1979-05-01",1979,5,132.64,"Tmin",20.35
"Rancho Harold","1979-05-01",1979,5,132.64,"Tmax",27.35
"Rancho Harold","1979-05-01",1979,5,132.64,"Tavg",23.85
"Cacao Arenales","1979-06-01",1979,6,655.12,"Tmin",18.75
"Cacao Arenales","1979-06-01",1979,6,655.12,"Tmax",24.05
"Cacao Arenales","1979-06-01",1979,6,655.12,"Tavg",21.4
"Bosque Humedo","1979-06-01",1979,6,576.02,"Tmin",22.85
"Bosque Humedo","1979-06-01",1979,6,576.02,"Tmax",27.35
"Bosque Humedo","1979-06-01",1979,6,576.02,"Tavg",25.1
"Naranjo Carbonal","1979-06-01",1979,6,482.81,"Tmin",24.65
"Naranjo Carbonal","1979-06-01",1979,6,482.81,"Tmax",28.45
"Naranjo Carbonal","1979-06-01",1979,6,482.81,"Tavg",26.55
"Cacao Sendero Circular","1979-06-01",1979,6,664.37,"Tmin",17.95
"Cacao Sendero Circular","1979-06-01",1979,6,664.37,"Tmax",23.15
"Cacao Sendero Circular","1979-06-01",1979,6,664.37,"Tavg",20.55
"Gongora","1979-06-01",1979,6,623.82,"Tmin",20.95
"Gongora","1979-06-01",1979,6,623.82,"Tmax",26.45
"Gongora","1979-06-01",1979,6,623.82,"Tavg",23.7
"Rincon 1000","1979-06-01",1979,6,642.27,"Tmin",18.45
"Rincon 1000","1979-06-01",1979,6,642.27,"Tmax",24.15
"Rincon 1000","1979-06-01",1979,6,642.27,"Tavg",21.3
"Rincon 1200","1979-06-01",1979,6,650.7,"Tmin",17.35
"Rincon 1200","1979-06-01",1979,6,650.7,"Tmax",22.95
"Rincon 1200","1979-06-01",1979,6,650.7,"Tavg",20.15
"Maritza","1979-06-01",1979,6,594.64,"Tmin",21.15
"Maritza","1979-06-01",1979,6,594.64,"Tmax",26.25
"Maritza","1979-06-01",1979,6,594.64,"Tavg",23.7
"Pitilla","1979-06-01",1979,6,707.67,"Tmin",20.65
"Pitilla","1979-06-01",1979,6,707.67,"Tmax",25.35
"Pitilla","1979-06-01",1979,6,707.67,"Tavg",23
"Rancho Harold","1979-06-01",1979,6,636.06,"Tmin",20.25
"Rancho Harold","1979-06-01",1979,6,636.06,"Tmax",25.65
"Rancho Harold","1979-06-01",1979,6,636.06,"Tavg",22.95
"Cacao Arenales","1979-07-01",1979,7,302.97,"Tmin",18.75
"Cacao Arenales","1979-07-01",1979,7,302.97,"Tmax",24.15
"Cacao Arenales","1979-07-01",1979,7,302.97,"Tavg",21.45
"Bosque Humedo","1979-07-01",1979,7,287.18,"Tmin",22.95
"Bosque Humedo","1979-07-01",1979,7,287.18,"Tmax",27.75
"Bosque Humedo","1979-07-01",1979,7,287.18,"Tavg",25.35
"Naranjo Carbonal","1979-07-01",1979,7,212.99,"Tmin",24.85
"Naranjo Carbonal","1979-07-01",1979,7,212.99,"Tmax",28.95
"Naranjo Carbonal","1979-07-01",1979,7,212.99,"Tavg",26.9
"Cacao Sendero Circular","1979-07-01",1979,7,312,"Tmin",17.95
"Cacao Sendero Circular","1979-07-01",1979,7,312,"Tmax",23.25
"Cacao Sendero Circular","1979-07-01",1979,7,312,"Tavg",20.6
"Gongora","1979-07-01",1979,7,270.03,"Tmin",20.95
"Gongora","1979-07-01",1979,7,270.03,"Tmax",26.65
"Gongora","1979-07-01",1979,7,270.03,"Tavg",23.8
"Rincon 1000","1979-07-01",1979,7,307.21,"Tmin",18.35
"Rincon 1000","1979-07-01",1979,7,307.21,"Tmax",24.35
"Rincon 1000","1979-07-01",1979,7,307.21,"Tavg",21.35
"Rincon 1200","1979-07-01",1979,7,319.59,"Tmin",17.25
"Rincon 1200","1979-07-01",1979,7,319.59,"Tmax",23.05
"Rincon 1200","1979-07-01",1979,7,319.59,"Tavg",20.15
"Maritza","1979-07-01",1979,7,288.44,"Tmin",21.15
"Maritza","1979-07-01",1979,7,288.44,"Tmax",26.35
"Maritza","1979-07-01",1979,7,288.44,"Tavg",23.75
"Pitilla","1979-07-01",1979,7,369.78,"Tmin",20.65
"Pitilla","1979-07-01",1979,7,369.78,"Tmax",25.35
"Pitilla","1979-07-01",1979,7,369.78,"Tavg",23
"Rancho Harold","1979-07-01",1979,7,279.64,"Tmin",20.25
"Rancho Harold","1979-07-01",1979,7,279.64,"Tmax",25.85
"Rancho Harold","1979-07-01",1979,7,279.64,"Tavg",23.05
"Cacao Arenales","1979-08-01",1979,8,425.07,"Tmin",18.55
"Cacao Arenales","1979-08-01",1979,8,425.07,"Tmax",24.05
"Cacao Arenales","1979-08-01",1979,8,425.07,"Tavg",21.3
"Bosque Humedo","1979-08-01",1979,8,364.21,"Tmin",22.85
"Bosque Humedo","1979-08-01",1979,8,364.21,"Tmax",27.65
"Bosque Humedo","1979-08-01",1979,8,364.21,"Tavg",25.25
"Naranjo Carbonal","1979-08-01",1979,8,285.14,"Tmin",24.75
"Naranjo Carbonal","1979-08-01",1979,8,285.14,"Tmax",28.85
"Naranjo Carbonal","1979-08-01",1979,8,285.14,"Tavg",26.8
"Cacao Sendero Circular","1979-08-01",1979,8,434.58,"Tmin",17.75
"Cacao Sendero Circular","1979-08-01",1979,8,434.58,"Tmax",23.15
"Cacao Sendero Circular","1979-08-01",1979,8,434.58,"Tavg",20.45
"Gongora","1979-08-01",1979,8,388.86,"Tmin",20.85
"Gongora","1979-08-01",1979,8,388.86,"Tmax",26.55
"Gongora","1979-08-01",1979,8,388.86,"Tavg",23.7
"Rincon 1000","1979-08-01",1979,8,489.04,"Tmin",18.25
"Rincon 1000","1979-08-01",1979,8,489.04,"Tmax",24.15
"Rincon 1000","1979-08-01",1979,8,489.04,"Tavg",21.2
"Rincon 1200","1979-08-01",1979,8,502.61,"Tmin",17.05
"Rincon 1200","1979-08-01",1979,8,502.61,"Tmax",22.85
"Rincon 1200","1979-08-01",1979,8,502.61,"Tavg",19.95
"Maritza","1979-08-01",1979,8,376.35,"Tmin",21.05
"Maritza","1979-08-01",1979,8,376.35,"Tmax",26.25
"Maritza","1979-08-01",1979,8,376.35,"Tavg",23.65
"Pitilla","1979-08-01",1979,8,518.21,"Tmin",20.55
"Pitilla","1979-08-01",1979,8,518.21,"Tmax",25.25
"Pitilla","1979-08-01",1979,8,518.21,"Tavg",22.9
"Rancho Harold","1979-08-01",1979,8,400.05,"Tmin",20.15
"Rancho Harold","1979-08-01",1979,8,400.05,"Tmax",25.75
"Rancho Harold","1979-08-01",1979,8,400.05,"Tavg",22.95
"Cacao Arenales","1979-09-01",1979,9,607.8,"Tmin",18.25
"Cacao Arenales","1979-09-01",1979,9,607.8,"Tmax",23.35
"Cacao Arenales","1979-09-01",1979,9,607.8,"Tavg",20.8
"Bosque Humedo","1979-09-01",1979,9,632.05,"Tmin",22.35
"Bosque Humedo","1979-09-01",1979,9,632.05,"Tmax",26.45
"Bosque Humedo","1979-09-01",1979,9,632.05,"Tavg",24.4
"Naranjo Carbonal","1979-09-01",1979,9,606.12,"Tmin",24.15
"Naranjo Carbonal","1979-09-01",1979,9,606.12,"Tmax",27.35
"Naranjo Carbonal","1979-09-01",1979,9,606.12,"Tavg",25.75
"Cacao Sendero Circular","1979-09-01",1979,9,606.47,"Tmin",17.45
"Cacao Sendero Circular","1979-09-01",1979,9,606.47,"Tmax",22.55
"Cacao Sendero Circular","1979-09-01",1979,9,606.47,"Tavg",20
"Gongora","1979-09-01",1979,9,628.31,"Tmin",20.45
"Gongora","1979-09-01",1979,9,628.31,"Tmax",25.65
"Gongora","1979-09-01",1979,9,628.31,"Tavg",23.05
"Rincon 1000","1979-09-01",1979,9,703.76,"Tmin",17.85
